                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98661,                 1.9929,                 6.7999,                 1.2552,                  8e-05,                  0.024,                  6e-05,                  1e-05,                0.00016,                  0.048,                  8e-05,                  2e-05,                    nan,                    nan,                    nan,                    nan,                0.00062,                0.00062,                0.00062
                      2,                 1.1083,                 1.4802,                 1.5515,                 1.2456,                0.00117,                  0.352,                0.00082,                0.00023,                0.00056,                  0.168,                0.00038,                  8e-05,                    nan,                    nan,                    nan,                    nan,              0.0011353,              0.0011353,              0.0011353
                      3,                 1.1086,                 1.6664,                 1.2706,                 1.2195,                0.00117,                  0.352,                0.00082,                0.00023,                0.00056,                  0.168,                0.00038,                  8e-05,                    nan,                    nan,                    nan,                    nan,              0.0015238,              0.0015238,              0.0015238
                      4,                 1.0346,                 1.3529,                 1.0021,                 1.1636,                0.00117,                  0.352,                0.00082,                0.00023,                0.00056,                  0.168,                0.00038,                  8e-05,                    nan,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      5,                 1.0266,                 1.3095,                0.97854,                 1.1558,                0.36569,                  0.504,                0.45691,                0.28665,                0.35989,                  0.496,                0.45415,                0.26846,                 1.5449,                 12.519,                 18.398,                 1.9059,               0.001406,               0.001406,               0.001406
                      6,                0.95258,                 1.2679,                 0.8492,                 1.1092,                0.78724,                0.76963,                0.84252,                0.60788,                0.81391,                  0.776,                0.85507,                0.64371,                0.90733,                 1.6234,                 1.7992,                  1.121,               0.001208,               0.001208,               0.001208
                      7,                0.85581,                 1.0675,                 0.7283,                 1.0437,                0.79668,                0.87771,                0.87585,                0.63826,                0.80321,                0.88161,                0.88458,                0.69537,                0.78462,                 1.1355,                 1.9329,                 1.0615,                0.00101,                0.00101,                0.00101
                      8,                0.79619,                0.96686,                 0.6737,                 1.0489,                0.84992,                  0.896,                0.91951,                0.69437,                0.86394,                0.91436,                0.93917,                 0.7295,                0.86809,                 1.2461,                0.75952,                 1.1199,               0.000812,               0.000812,               0.000812
                      9,                0.75986,                 1.0216,                0.62406,                 1.0038,                0.97186,                  0.896,                0.97524,                0.77586,                0.97186,                  0.896,                0.97524,                0.82427,                0.77088,                0.97072,                0.56908,                 1.0037,               0.000614,               0.000614,               0.000614
                     10,                0.71307,                0.91361,                0.56789,                 1.0111,                0.93597,                0.93553,                0.96998,                0.79882,                0.93597,                0.93553,                0.96998,                0.81983,                0.67823,                0.93492,                0.56338,                0.98094,               0.000416,               0.000416,               0.000416
